,scores,labels
0,0.23187771,0
1,0.22436677,0
2,0.2265774,0
3,0.22192523,0
4,0.23164034,0
5,0.22602813,0
6,0.234288,0
7,0.23405609,0
8,0.23101854,0
9,0.23148513,0
10,0.22774129,0
11,0.23022187,0
12,0.22953014,0
13,0.2218993,0
14,0.23313741,0
15,0.208602,0
16,0.22318825,0
17,0.2470338,0
18,0.22117452,0
19,0.22883527,0
20,0.20873253,0
21,0.22305147,0
22,0.22087416,0
23,0.23436725,0
24,0.22099082,0
25,0.22814457,0
26,0.22705083,0
27,0.2348588,0
28,0.22738391,0
29,0.23169377,0
30,0.24104354,0
31,0.23222338,0
32,0.2268924,0
33,0.23040754,0
34,0.22709861,0
35,0.23228145,0
36,0.22956125,0
37,0.229631,0
38,0.22125843,0
39,0.22826216,0
40,0.22517776,0
41,0.23735093,0
42,0.21953925,0
43,0.24869284,0
44,0.22668803,0
45,0.22139809,0
46,0.22561918,0
47,0.22496781,0
48,0.23334382,0
49,0.21102743,0
50,0.24684751,0
51,0.2307608,0
52,0.22967404,0
53,0.22133157,0
54,0.20106594,0
55,0.23295659,0
56,0.21310955,0
57,0.23695461,0
58,0.22580326,0
59,0.23487794,0
60,0.2301703,0
61,0.22303483,0
62,0.2404742,0
63,0.21674906,0
64,0.24550089,0
65,0.23339054,0
66,0.22052664,0
67,0.23573014,0
68,0.23146024,0
69,0.24324584,0
70,0.23624665,0
71,0.23778397,0
72,0.21572149,0
73,0.22828327,0
74,0.24793622,0
75,0.23048279,0
76,0.23013835,0
77,0.23745422,0
78,0.23094468,0
79,0.21450081,0
80,0.22877029,0
81,0.23766315,0
82,0.2374371,0
83,0.22591564,0
84,0.21870182,0
85,0.24494158,0
86,0.23019242,0
87,0.2573083,0
88,0.2182686,0
89,0.23440179,0
90,0.21601717,0
91,0.22182348,0
92,0.21432535,0
93,0.22099428,0
94,0.22161429,0
95,0.23284082,0
96,0.22350723,0
97,0.24048357,0
98,0.22460428,0
99,0.23497432,0
100,0.22346555,0
101,0.23229548,0
102,0.23185748,0
103,0.2205771,0
104,0.2306693,0
105,0.2284511,0
106,0.22373375,0
107,0.22120073,0
108,0.24757528,0
109,0.22413743,0
110,0.23956536,0
111,0.22944376,0
112,0.2399284,0
113,0.23026004,0
114,0.22832534,0
115,0.22778851,0
116,0.22507903,0
117,0.22877489,0
118,0.23394945,0
119,0.22495806,0
120,0.23651907,0
121,0.23864731,0
122,0.22815204,0
123,0.22920811,0
124,0.22845933,0
125,0.22905402,0
126,0.23624733,0
127,0.22938669,0
128,0.23856644,0
129,0.23123729,0
130,0.19136858,0
131,0.21949846,0
132,0.2293937,0
133,0.22222333,0
134,0.22437178,0
135,0.23003274,0
136,0.21450195,0
137,0.21842784,0
138,0.22894578,0
139,0.233875,0
140,0.22753416,0
141,0.23261839,0
142,0.23330848,0
143,0.22456121,0
144,0.22661862,0
145,0.21699242,0
146,0.22760336,0
147,0.22019933,0
148,0.23202942,0
149,0.22922778,0
150,0.22887278,0
151,0.21540038,0
152,0.23515263,0
153,0.22999483,0
154,0.23908594,0
155,0.2168802,0
156,0.21463025,0
157,0.22296439,0
158,0.23996882,0
159,0.24311647,0
160,0.2356144,0
161,0.22623074,0
162,0.22330377,0
163,0.22553173,0
164,0.23860179,0
165,0.2326734,0
166,0.22548358,0
167,0.23477378,0
168,0.22579323,0
169,0.22632264,0
170,0.2206865,0
171,0.22737491,0
172,0.23947863,0
173,0.2265142,0
174,0.22838074,0
175,0.23764694,0
176,0.22275941,0
177,0.23295431,0
178,0.23796463,0
179,0.23373127,0
180,0.2384449,0
181,0.2247133,0
182,0.23890798,0
183,0.22618823,0
184,0.23382747,0
185,0.22909932,0
186,0.21911511,0
187,0.22360513,0
188,0.2277047,0
189,0.23876178,0
190,0.22725181,0
191,0.23039785,0
192,0.2216932,0
193,0.23633087,0
194,0.2210068,0
195,0.23507647,0
196,0.21875629,0
197,0.23647867,0
198,0.23273176,0
199,0.22283494,0
200,0.21990447,0
201,0.24968462,0
202,0.23303303,0
203,0.23296067,0
204,0.22177324,0
205,0.22571707,0
206,0.21968609,0
207,0.22631657,0
208,0.24649851,0
209,0.23098634,0
210,0.22786856,0
211,0.22323552,0
212,0.23211901,0
213,0.23323095,0
214,0.22396955,0
215,0.23062155,0
216,0.21900398,0
217,0.22382113,0
218,0.24050117,0
219,0.23153743,0
220,0.23118722,0
221,0.23304644,0
222,0.22576973,0
223,0.22421245,0
224,0.22481173,0
225,0.21847294,0
226,0.22123009,0
227,0.23283903,0
228,0.22628653,0
229,0.24242955,0
230,0.228321,0
231,0.24804437,0
232,0.22947524,0
233,0.23039316,0
234,0.21319818,0
235,0.23814677,0
236,0.23269515,0
237,0.23442504,0
238,0.23881817,0
239,0.24048808,0
240,0.2227186,0
241,0.20929301,0
242,0.23146671,0
243,0.20829181,0
244,0.22585344,0
245,0.22327231,0
246,0.22494143,0
247,0.24715993,0
248,0.22684425,0
249,0.24434671,0
250,0.22737929,0
251,0.23149934,0
252,0.23024356,0
253,0.23110741,0
254,0.22915089,0
255,0.23206775,0
256,0.25258857,0
257,0.24084973,0
258,0.22863024,0
